mts,open,close,high,low,volume
1631855700000,48075.82491979,48038.0,48120.0,47991.0,6.71863241
1631856600000,48029.0,48046.0,48094.0,48026.0,16.967658319999998
1631857500000,48046.65203397,48072.63440955,48099.0,47997.05208162,5.80920652
1631858400000,48085.0,47920.0,48109.0,47914.0,14.9106227
1631859300000,47920.0,47880.0,47920.0,47866.0,27.41305074
1631860200000,47880.0,47924.0,47947.57716848,47840.0,11.733998829999999
1631861100000,47924.0,48104.0,48128.0,47924.0,25.86476664
1631862000000,48089.0,48074.0,48144.79192608,48074.0,22.333941199999998
1631862900000,48073.0,47931.0,48073.0,47903.18306293,11.9899194
1631863800000,47929.0,47879.0,48015.55274088,47851.0,34.12672067
1631864700000,47879.0,47756.0,47910.0,47684.0,44.89781043
1631865600000,47745.0,47872.0,47880.0,47686.0,12.903245010000001
1631866500000,47874.0,47951.0,47982.0,47862.0,28.59078671
1631867400000,47951.24106333,47871.0,48014.0,47871.0,16.42807742
1631868300000,47871.0,47952.0,47993.0,47870.0,10.65597196
1631869200000,47953.0,47833.0,48004.0,47828.0,15.43031507
1631870100000,47833.0,47915.0,47922.0,47821.0,9.78536097
1631871000000,47912.0,47779.0,47928.0,47755.0,31.06616717
1631871900000,47778.0,47744.0,47849.0,47735.0,34.35691099
1631872800000,47743.98312137,47677.0,47788.0,47636.0,41.81089273
1631873700000,47677.0,47613.0,47724.0,47529.0,50.08816968
1631874600000,47609.0,47515.0,47667.00882493,47423.58760086,46.78756325
1631875500000,47517.0,47481.0,47563.0,47369.0,34.37103103
1631876400000,47468.0,47557.4606024,47569.0,47405.84417824,15.64654962
1631877300000,47551.0,47661.08287415,47758.0,47531.0,43.50763974
1631878200000,47658.0,47561.0,47670.0,47471.0,27.82330321
1631879100000,47547.0,47424.0,47547.0,47325.0,32.04158036
1631880000000,47424.0,47363.0,47424.0,47257.79173713,48.4232069
1631880900000,47363.0,47507.0,47520.0,47332.23402846,15.54160804
1631881800000,47507.0,47503.96798013,47526.0,47398.0,16.71980772
1631882700000,47507.0,47462.0,47507.0,47370.0,12.38348267
1631883600000,47468.35241652,47404.0,47468.35241652,47355.50468164,29.05928075
1631884500000,47419.0,47217.0,47426.36407533,47158.0,54.1049038
1631885400000,47217.0,47327.60225291,47449.0,47196.0,38.82160344
1631886300000,47327.0,47300.0,47419.0,47257.91844229,23.28827715
